user_id,ethnicity,gender,SATM,SATR,
335988,,2,770,,
336743,,2,780,760,
337049,,,800,740,
337271,,2,800,790,
337305,,,760,660,
339243,,1,740,800,
339409,2,2,,97,
340014,,,740,750,
340406,2,2,790,770,
341382,1,1,670,730,
341400,1,2,800,,
342389,2,1,710,,
344636,1,2,800,800,
345092,1,2,590,600,
346094,,2,620,680,
346692,1,1,500,630,
346956,3,2,630,,
348840,1,2,780,680,
349340,,,750,800,
350460,1,1,650,590,
353346,5,1,310,510,
354011,1,1,560,480,
356232,1,2,780,690,
356779,2,2,800,740,
357481,,1,600,640,
358215,,1,630,800,
358515,3,1,480,480,
358832,1,1,780,670,
359045,1,2,610,650,
359448,1,2,790,730,
360494,4,1,630,730,
360700,1,2,650,660,
362084,1,2,610,740,
364463,,,,650,
364558,1,1,580,670,
364936,1,1,740,790,
368839,,1,720,630,
369004,,,800,560,
369852,2,1,740,800,
369952,5,1,770,770,
371367,,1,510,500,
371489,,2,,800,
371524,2,1,780,,
372036,2,1,770,,
373511,2,,770,800,
373571,,,690,750,
374420,,2,120,,
374688,,,740,720,
375155,1,1,510,630,
375274,1,2,720,770,
376403,1,2,700,,
376467,4,2,800,,
376885,,1,780,640,
377319,2,1,800,,
379030,2,2,790,,
379765,4,1,620,680,
381775,1,2,760,800,
383021,,1,610,710,
385638,1,2,,800,
386339,,1,760,340,
386615,1,1,720,750,
386965,,2,770,720,
387261,,,770,780,
388056,,,700,,
388175,2,2,800,690,
388225,1,1,690,720,
388919,2,2,800,800,
389611,2,2,740,,
389958,2,2,710,710,
392844,2,1,800,800,
394600,2,2,690,681,
394871,4,2,680,620,
399358,,1,800,790,
399664,,2,800,660,
400282,1,2,760,,
400490,1,2,790,700,
403429,1,2,710,690,
403947,,,690,790,
404111,1,1,720,680,
405001,,1,520,,
405874,1,1,710,,
407991,2,1,800,800,
408412,,,760,800,
409000,,1,740,,
409656,1,1,800,780,
409851,1,2,640,630,
410448,,1,,750,
410474,1,2,690,680,
411002,1,1,570,690,
412921,,1,750,790,
413693,,1,770,800,
414288,,,740,600,
415437,2,2,780,740,
415976,2,1,770,660,
417411,,,660,740,
418263,1,1,500,560,
418311,2,2,,750,
418421,1,1,690,720,
420275,5,2,790,760,
420802,1,1,,740,
421183,2,2,800,690,
421202,,2,812,760,
423841,1,2,780,790,
424336,,1,690,710,
424794,,,720,,
424806,1,2,530,590,
426268,1,2,720,800,
426741,,,630,780,
427733,5,1,680,720,
428423,,1,710,800,
430213,1,2,700,800,
430306,1,2,720,,
430510,2,2,800,800,
431226,,1,710,750,
431698,1,2,610,510,
432007,5,1,670,,
432454,,2,780,800,
433146,3,2,770,,
433222,2,1,800,790,
433270,1,1,700,720,
434988,,,780,720,
435705,1,2,770,670,
435848,1,2,700,800,
435950,,,700,800,
436292,,,600,800,
436347,1,2,730,,
437750,,,700,780,
440436,5,1,520,,
441545,1,2,500,,
441650,,2,720,750,
441985,,,800,,
442108,2,1,710,680,
442475,1,1,370,380,
443765,2,1,800,800,
444424,1,1,,600,
445091,5,1,610,690,
445423,2,1,,,
446930,1,2,720,670,
447569,,,620,800,
449228,1,1,670,690,
452203,,,,750,
452496,1,2,780,750,
453349,1,1,,800,
454013,1,2,650,750,
454044,,,800,,
454220,4,2,770,720,
455111,2,1,790,800,
455245,,,710,800,
455526,2,2,800,720,
456210,1,2,700,,
456700,,2,770,690,
456853,,,780,800,
459615,,,770,760,
460005,1,2,770,,
460375,2,1,740,770,
461199,,2,,,
461228,,,800,,
461276,,,800,740,
461672,3,1,600,680,
461746,1,1,610,,
463042,1,2,630,650,
463483,1,2,780,,
463919,,,720,,
466758,1,2,650,660,
467682,2,2,740,700,
468037,1,2,,630,
472887,5,1,770,,
473138,4,2,710,800,
473877,3,1,440,,
474578,,,780,770,
475241,1,1,,500,
475853,1,1,740,760,
476238,2,2,720,660,
477182,2,2,790,,
477467,2,2,740,760,
477610,1,2,,610,
479278,,,800,780,
479984,1,1,680,710,
481253,,2,670,640,
481768,1,2,800,710,
485358,1,1,,720,
487471,,2,760,800,
487557,1,1,750,800,
490514,1,2,800,,
491115,1,2,690,800,
492457,1,2,720,800,
492466,2,2,780,790,
492692,2,2,770,750,
493316,,,800,,
493638,2,2,780,800,
493646,1,1,790,,
494611,,,750,680,
495279,,,600,600,
496607,1,2,760,720,
497046,1,1,800,,
497663,1,1,,790,
497906,1,2,730,730,
499273,1,1,780,,
500365,,,800,770,
501369,5,2,800,,
501402,3,1,690,740,
501585,2,2,32,,
501847,4,2,720,630,
502320,2,2,800,800,
503359,,1,700,800,
503443,,2,630,630,
505170,,1,630,580,
506356,1,2,580,760,
506745,1,1,740,,
507180,3,1,540,640,
507562,1,1,610,630,
507679,2,1,600,,
507766,1,2,700,710,
508149,1,2,790,790,
508361,2,2,800,800,
509223,4,2,580,560,
510611,2,1,85,,
512505,1,2,750,,
513415,,,800,760,
514809,1,2,800,790,
517425,,1,750,750,
517567,4,1,710,,
519247,1,2,750,830,
523714,1,1,390,495,
525710,1,2,620,650,
526848,2,1,780,780,
526854,1,2,690,720,
527081,1,2,740,700,
527583,1,2,700,650,
527720,,,770,800,
528959,1,2,630,650,
530011,2,1,690,520,
530416,,,630,520,
530604,,,480,400,
531446,3,1,690,710,
533795,1,1,680,790,
533796,1,2,650,700,
535250,1,2,800,740,
535543,1,1,800,,
536057,2,2,800,720,
536181,1,2,710,,
537371,,,730,700,
539466,2,2,710,,
540759,1,2,750,,
540964,1,2,800,690,
541210,3,1,710,,
542106,2,2,,800,
542389,,1,1687,,
542553,,,780,760,
543071,1,1,670,630,
543155,,,770,,
543229,,2,770,700,
546835,1,1,700,720,
547338,,2,760,720,
548087,,,800,,
548105,3,1,690,730,
548762,,,710,780,
550108,2,1,790,,
551046,,2,720,,
551108,2,1,730,720,
551769,,,740,770,
552727,4,2,700,600,
553441,2,2,740,,
553555,,1,730,790,
553890,1,2,800,,
556107,,1,,800,
556195,1,1,650,790,
556604,1,2,,800,
557765,1,2,750,650,
559608,1,2,640,700,
559726,1,2,740,660,
561514,,2,800,800,
564432,2,1,800,800,
565448,1,2,710,710,
565454,1,2,790,730,
565708,2,1,800,680,
566072,1,2,780,790,
568299,1,2,650,690,
568629,1,1,740,760,
569177,1,1,,730,
569582,2,1,630,650,
570294,,2,610,600,
570453,4,2,690,700,
570651,1,2,720,,
571595,4,1,730,,
571865,2,2,760,730,
574191,,2,680,,
574259,1,2,800,760,
574770,5,2,650,,
575721,3,2,710,,
576209,,2,710,,
577147,2,1,800,790,
577248,1,1,760,670,
577721,1,1,750,800,
578259,1,2,710,740,
578774,1,2,780,720,
579289,2,1,800,760,
581273,4,2,770,740,
581633,1,1,,800,
582596,1,2,450,600,
582694,,2,780,800,
583553,,2,740,670,
584952,1,1,790,690,
585726,2,2,800,740,
587158,1,1,720,710,
587515,2,2,660,640,
588554,2,2,,800,
588588,2,2,630,,
588846,1,2,670,600,
589113,1,2,660,,
589331,4,2,720,780,
589723,1,2,760,660,
589818,,,760,690,
590507,,2,770,750,
590867,1,1,620,640,
591161,2,1,740,,
591480,1,2,800,,
591633,1,2,770,,
592317,,2,800,,
594332,2,1,540,,
595072,1,2,790,670,
596009,1,1,580,700,
596650,3,1,530,480,
596717,1,1,710,,
597506,,,800,,
599284,,1,,760,
599351,1,1,740,680,
599531,1,1,760,800,
600881,4,1,710,680,
600965,1,2,800,630,
602017,1,1,,720,
602471,1,1,560,680,
602681,1,1,710,760,
605246,5,1,640,660,
605406,,,,800,
605532,1,2,640,670,
606408,,1,600,640,
607111,2,2,800,800,
607175,1,2,800,,
607662,1,1,740,670,
607670,1,2,727,800,
607854,,2,800,780,
608383,1,2,790,,
608552,,,800,,
609812,1,2,800,,
610617,2,2,650,570,
611162,,2,720,760,
611824,2,2,800,790,
612104,1,1,600,750,
612314,1,2,760,,
613392,3,2,740,790,
614462,1,1,770,770,
615103,,,700,800,
615393,2,2,800,700,
615543,1,1,740,680,
616522,2,1,730,680,
618889,1,1,23,,
619264,2,2,660,620,
619955,1,2,,780,
621639,1,2,750,790,
622250,1,2,740,800,
622537,,2,800,760,
622706,,1,620,730,
624891,,2,800,800,
625136,,,800,,
625371,1,2,680,710,
626990,,2,800,,
627860,,,500,705,
628484,,2,800,,
630686,,,800,640,
631123,,,800,,
631729,1,2,600,600,
632588,1,2,610,,
632764,,,780,650,
633268,,,800,780,
634105,2,1,660,650,
634264,1,2,740,800,
634374,1,2,800,670,
634680,,1,770,,
637174,4,2,470,570,
637925,4,2,500,490,
640914,,,700,640,
640915,1,1,710,800,
642284,,,700,780,
642372,1,1,710,680,
642687,1,2,560,760,
643572,1,2,800,800,
643787,1,2,550,550,
644117,1,1,640,630,
644497,1,1,740,720,
644750,2,1,750,740,
645390,,,770,720,
646558,1,2,750,750,
646990,2,1,760,800,
647897,1,2,700,760,
648594,1,1,550,,
649002,,2,790,,
649154,1,2,760,550,
650433,2,1,790,760,
651403,1,1,670,670,
653498,2,2,780,700,
654123,1,1,700,680,
654259,,,770,790,
655254,,2,800,,
655393,5,2,690,,
655448,5,1,540,610,
656219,,,740,,
657680,5,1,,1500,
658816,2,2,800,680,
659935,1,1,,640,
660567,,,710,,
663397,2,1,760,760,
663489,1,1,710,650,
663514,,1,780,,
663678,1,2,680,640,
663784,,1,700,740,
665051,2,1,760,610,
665614,1,2,760,780,
667460,,,740,630,
668061,2,1,750,720,
669322,,,700,790,
671242,1,1,720,800,
672018,2,2,90,,
672058,3,2,500,670,
672600,1,2,660,690,
672646,1,2,780,720,
673684,1,1,800,780,
674001,1,2,730,,
675679,1,1,690,790,
676136,,,,540,
676550,2,1,550,,
677102,,1,790,750,
678366,1,1,623,,
678416,2,1,800,800,
679199,1,1,,650,
680418,3,2,660,750,
681799,1,2,690,660,
682605,2,1,790,770,
684526,4,1,660,,
685895,1,2,600,,
686296,1,2,620,550,
686632,1,2,700,700,
686681,1,1,740,690,
687985,4,1,740,680,
688893,2,1,800,,
690439,1,2,660,650,
691063,1,2,640,790,
691132,1,2,800,670,
692085,1,2,770,740,
692811,1,2,610,510,
693058,1,2,720,,
693300,,1,770,760,
693392,1,1,740,680,
693476,1,2,690,670,
693879,1,2,670,730,
695857,,2,720,700,
696282,,,550,550,
696320,,,670,670,
696327,,,1,,
697759,,,720,750,
698783,,,750,700,
699391,,2,800,680,
700813,3,1,512,,
701382,1,1,740,800,
701995,,,520,690,
702336,1,1,710,670,
702944,2,1,690,770,
705331,5,1,680,660,
705503,,,570,475,
705589,,2,660,700,
709315,1,2,750,,
711730,1,2,670,800,
712093,1,1,650,610,
712558,,2,750,690,
712767,,2,800,800,
713171,,,680,650,
713416,,,800,,
713447,1,2,670,740,
713937,1,2,760,720,
714670,,,670,710,
714758,1,2,800,680,
715726,2,2,620,,
717691,2,1,750,800,
719272,,1,690,800,
719671,1,1,640,720,
720306,1,1,800,770,
722919,1,2,800,,
723008,3,2,,730,
723532,,2,750,560,
725737,1,2,750,1530,
729297,3,2,630,800,
729854,,,730,740,
730624,1,2,660,720,
730956,,1,670,680,
731822,1,2,,770,
732753,3,2,680,650,
732757,,1,730,690,
733642,,,770,,
733810,,1,570,570,
734389,1,1,740,730,
734947,2,1,800,790,
736652,1,2,700,690,
737306,1,2,750,750,
739560,1,1,590,780,
741253,2,1,750,700,
741575,5,1,610,640,
742957,,,29,,
744275,1,2,600,600,
745006,1,2,790,790,
745406,1,2,560,520,
745771,1,1,700,740,
746967,3,2,570,,
748001,1,2,760,,
748669,2,1,770,760,
750789,1,2,800,670,
751295,,1,730,,
752287,1,2,760,700,
752651,1,2,521,505,
752810,2,2,760,,
752851,1,2,,720,
752999,,,700,700,
753544,4,2,,670,
753590,1,2,770,770,
754248,1,2,580,,
755203,1,1,84,,
757263,,2,800,770,
757613,1,2,800,760,
757663,4,1,760,800,
758479,2,1,800,800,
759445,,2,730,,
759667,1,2,680,680,
759703,1,2,640,640,
759903,1,1,610,620,
760577,,,790,760,
762075,,1,740,750,
763009,1,2,630,620,
764622,2,2,740,700,
765150,,1,760,800,
765338,,2,740,800,
765576,5,2,770,720,
766720,,,600,600,
767395,2,1,800,,
770739,,,700,750,
771433,1,2,670,800,
772105,1,1,680,800,
773728,1,2,720,680,
774144,2,2,720,660,
774609,,2,740,740,
775776,,2,800,,
776214,,1,,720,
776443,,,730,680,
777695,1,2,,800,
778432,1,2,680,710,
779547,,2,,740,
779786,1,2,600,,
781067,,2,750,690,
782070,,2,790,800,
782599,2,2,800,780,
784016,5,1,800,,
784254,1,1,610,720,
785120,,1,,800,
785316,,,,720,
785918,,,690,,
786821,2,1,800,760,
787096,2,2,800,660,
787781,1,2,780,800,
788049,1,2,800,740,
789965,,2,780,,
791075,3,2,680,750,
792830,1,1,570,610,
793717,3,1,560,730,
794207,1,1,800,720,
796775,,,680,800,
797177,2,2,770,780,
797500,,1,740,,
797688,4,2,740,720,
798240,1,1,610,590,
799077,,2,,760,
799209,1,2,,800,
799552,2,1,720,720,
800137,2,2,680,630,
801622,2,1,760,740,
801685,2,2,800,,
802916,1,2,800,680,
803817,5,2,770,640,
803950,1,2,610,560,
804345,,1,780,770,
805134,2,2,800,,
806069,,,790,760,
806798,1,1,780,710,
807596,3,1,750,620,
808801,1,1,650,670,
811250,1,1,750,,
811710,1,1,780,800,
811856,,,690,720,
811961,1,1,600,730,
812204,2,2,770,,
812367,,,780,740,
812990,1,1,780,,
816364,5,1,620,680,
817460,2,2,800,,
821337,,1,610,640,
821768,,,760,750,
822367,2,1,720,760,
822993,1,1,710,660,
823497,5,2,800,800,
825029,,2,720,800,
825730,2,2,760,720,
825743,3,2,,760,
826287,,,700,720,
826294,1,2,800,710,
827443,3,1,730,,
830486,2,1,800,710,
832100,,,740,800,
833725,1,2,660,,
834362,3,1,690,640,
835003,1,2,760,740,
836730,1,2,730,800,
837217,1,2,790,,
837761,,1,800,,
838290,1,1,800,,
838341,5,1,,760,
838646,,,710,,
839221,2,1,780,690,
840577,5,1,610,590,
840777,,,720,650,
842023,1,2,770,740,
842541,1,2,540,540,
842806,1,1,800,,
843503,4,2,600,,
845184,1,2,500,510,
845245,1,2,680,,
846890,,2,800,800,
847379,,,680,620,
848370,,,,740,
850261,2,2,670,,
850378,1,1,710,,
850939,1,2,610,710,
851844,,,690,690,
852262,,2,800,800,
852615,1,2,800,700,
854148,,,740,800,
854370,,,700,740,
854756,2,2,800,,
855362,1,2,780,,
857128,1,1,620,630,
857869,,,740,680,
858250,,2,800,710,
858600,,,770,,
859243,2,2,630,,
861666,1,1,430,480,
862097,3,1,760,800,
862749,2,2,800,,
863448,,1,780,,
865899,,2,800,800,
866830,2,2,710,,
866959,2,1,,800,
867382,1,2,,165,
867718,2,1,720,800,
867873,1,2,710,600,
869618,2,2,740,,
869788,2,1,730,740,
870523,,,,750,
870704,3,,,730,
871393,,2,720,,
871469,2,2,770,690,
872055,5,1,720,610,
874526,4,1,620,620,
875179,,,,800,
875663,,,800,700,
876020,1,2,790,,
876351,3,2,700,,
876694,,,800,,
876883,3,1,440,610,
876984,5,1,750,800,
876994,3,2,580,780,
877206,1,2,800,640,
877667,4,1,440,440,
877920,2,1,760,,
878867,3,2,580,520,
879091,,,530,530,
879988,1,1,490,630,
882494,,,700,780,
882745,1,2,700,,
883014,2,2,730,,
883384,,,800,760,
883419,2,2,780,,
883796,2,1,800,,
884082,1,2,800,,
884758,1,1,600,690,
884957,1,1,700,700,
885710,,1,780,680,
885807,1,2,,800,
885875,1,2,,800,
886455,1,2,690,,
887278,,,,780,
887690,5,2,750,650,
888545,1,1,730,760,
889267,,,740,,
891417,,,530,680,
891903,1,2,640,640,
892231,2,1,750,,
892961,2,2,800,,
893517,1,1,700,650,
893622,4,1,,780,
893767,1,2,740,800,
894999,,2,760,800,
895955,1,2,,760,
897405,1,1,,800,
897750,1,2,720,,
898228,1,1,410,560,
899154,1,1,5,,
901393,5,1,800,740,
902334,,1,800,800,
903231,,,,800,
904072,1,2,1000,1200,
904987,1,2,800,,
905330,5,1,630,660,
905891,1,2,720,,
908152,1,1,780,590,
911057,,,710,,
911979,1,2,730,790,
914016,5,1,800,690,
914731,3,2,1460,,
914832,1,2,710,780,
915544,1,1,790,600,
917254,,1,800,760,
917702,,2,,800,
917936,1,1,800,720,
918206,,2,710,770,
918694,1,2,,760,
918798,,,670,580,
919112,2,1,740,760,
919764,,1,660,660,
922201,3,2,690,,
924002,1,1,520,510,
924528,1,2,760,710,
925256,1,1,620,430,
926040,1,2,770,670,
926305,1,2,770,800,
927623,2,1,780,730,
927663,,,710,710,
928741,2,2,760,690,
928926,1,2,800,800,
929862,3,2,770,770,
930187,,,620,610,
931183,1,2,690,,
932047,3,2,720,740,
932353,1,2,710,570,
932974,1,2,740,690,
933063,1,2,770,720,
933144,1,2,750,,
934272,,,740,800,
934928,,1,640,540,
935324,1,1,800,740,
935457,,1,750,690,
935749,4,2,750,,
936373,2,1,740,,
937927,4,2,550,,
938146,3,2,570,570,
938742,1,2,700,600,
939701,1,2,700,,
941945,1,2,800,800,
942501,1,1,700,,
943214,,2,800,,
943352,,2,700,680,
947495,1,2,710,700,
948377,1,1,680,800,
949126,1,2,800,,
949692,1,1,750,750,
949794,,,730,560,
949983,,1,,770,
950328,1,1,800,,
951055,1,1,690,720,
952924,1,2,100000000,,
955224,1,1,500,470,
955542,1,1,790,,
955893,,1,720,800,
956249,1,1,800,,
956598,1,1,570,730,
957253,5,1,540,720,
957403,,,800,,
960155,,,770,740,
960322,,,750,710,
963020,1,2,710,,
963087,1,1,800,670,
963379,2,2,800,800,
963423,,1,,730,
964943,,,660,770,
965354,,1,710,670,
965459,1,1,540,530,
966942,1,2,710,,
966947,,2,740,,
967427,4,2,670,640,
971063,,,800,,
971103,1,1,750,730,
971276,,2,730,730,
